id,followerCount,engagementRate
1,6207,1.0
2,38237,5.8
3,14840,0.6
4,43851,1.4
5,15530,3.5
6,24050,3.3
7,44837,1.3
8,10029,3.4
9,14531,0.2
10,7862,2.8
11,95117,6.6
12,28548,2.5
13,90773,6.7
14,34711,1.8
15,11546,2.4
16,38046,0.9
17,17006,0.9
18,22159,1.0
19,55217,4.9
20,1908,2.3
21,23555,0.8
22,6463,1.2
23,27915,2.1
24,3628,0.5
25,77585,2.7
26,30010,1.2
27,18404,3.1
28,9828,3.7
29,12108,0.5
30,7643,2.0
31,6517,1.1
32,17289,2.3
33,44833,0.6
34,10953,3.9
35,14910,3.0
36,30419,3.3
37,32406,1.2
38,30308,0.4
39,9890,9.4
40,18403,0.9
41,81909,3.6
42,29689,0.3
43,29843,0.7
44,13129,1.0
45,15165,1.2
46,42111,0.2
47,46847,0.9
48,19925,6.5
49,42391,0.3
50,43475,2.0
51,21126,3.1
52,39504,1.1
53,56257,3.2
54,18921,2.5
55,18570,1.5
56,30940,1.4
57,10645,0.7
58,5655,0.1
59,58987,6.7
60,58403,5.2
61,53701,4.5
62,33443,0.4
63,48553,1.4
64,8585,0.7
65,34471,0.4
66,46833,0.9
67,31642,3.4
68,28320,1.7
69,45718,0.3
70,11602,2.9
71,25160,2.8
72,61456,4.6
73,21216,2.5
74,22394,6.3
75,94551,3.0
76,39175,3.3
77,17408,1.9
78,20226,3.0
79,47405,0.4
80,20406,3.2
81,44116,1.2
82,12098,0.2
83,10614,0.1
84,25712,2.0
85,25346,2.3
86,26515,2.0
87,9043,2.9
88,19602,2.7
89,22801,2.3
90,1526,2.5
91,22100,3.2
92,3837,2.4
93,27657,5.5
94,49646,0.5
95,15523,3.1
96,13436,0.7
97,5741,0.9
98,27417,0.4
99,40869,0.1
100,15788,6.8
